X,Y
40.604,57.758
46.09,58.523
46.09,58.448
46.09,100.19
46.09,100.193
46.091,100.114
51.591,100.114
51.59,100.19
51.59,58.448
51.59,58.445
51.59,58.523
57.09,58.523
57.09,58.448
57.09,100.19
57.09,100.193
57.091,100.114
62.591,100.114
62.59,100.19
62.59,58.448
62.59,58.445
62.59,58.523
68.09,58.523
68.09,58.448
68.09,100.19
68.09,100.193
68.091,100.114
73.591,100.114
73.59,100.19
73.59,58.448
73.59,58.445
73.59,58.523
79.09,58.523
79.09,58.448
79.09,100.19
79.09,100.193
79.091,100.114
84.591,100.114
84.59,100.19
84.59,58.448
84.59,58.445
84.59,58.523
90.09,58.523
90.09,58.448
90.09,100.19
90.09,100.193
90.091,100.114
95.591,100.114
95.59,100.19
95.59,58.448
95.59,58.445
95.59,58.523
101.09,58.523
101.09,58.448
101.09,100.19
101.09,100.193
101.091,100.114
106.591,100.114
106.59,100.19
106.59,58.448
106.59,58.445
106.59,58.523
112.09,58.523
112.09,58.448
112.09,100.19
112.09,100.193
112.091,100.164
